name,noc,team,sport,sex,age,event,rank,medal
Abarza Alberto,CHI,Chile,Swimming,Male,36,Men's 200m Freestyle - S2,2,Silver
Abarza Alberto,CHI,Chile,Swimming,Male,36,Men's 50m Backstroke - S2,2,Silver
Abarza Alberto,CHI,Chile,Swimming,Male,36,Men's 100m Backstroke - S2,1,Gold
Aajim Munkhbat,MGL,Mongolia,Judo,Male,32,Men -66 kg,7,NA
Abasli Namig,AZE,Azerbaijan,Judo,Male,23,Men -66 kg,3,Bronze
Abassi Mostefa,ALG,Algeria,Wheelchair Basketball,Male,43,Men,12,NA
Abdelali Samiha,ALG,Algeria,Wheelchair Basketball,Female,33,Women,10,NA
Abbad Abderraouf,ALG,Algeria,Wheelchair Basketball,Male,34,Men,12,NA
Abdelaziz Gihan,EGY,Egypt,Powerlifting,Female,46,Women's -55 kg,7,NA
Abdalla Ashraf,EGY,Egypt,Sitting Volleyball,Male,47,Men,5,NA
Elkharsa Ahmed,EGY,Egypt,Sitting Volleyball,Male,23,Men,5,NA
Abouelyazeid Mohamed,EGY,Egypt,Sitting Volleyball,Male,42,Men,5,NA
Abdelhady Hany,EGY,Egypt,Powerlifting,Male,41,Men's -88 kg,3,Bronze
Abdellaoui Cherine,ALG,Algeria,Judo,Female,23,Women -52 kg,1,Gold
Abdellatif Abdelnaby,EGY,Egypt,Sitting Volleyball,Male,49,Men,5,NA
Abdelli Rima,TUN,Tunisia,Athletics,Female,33,Women's Shot Put - F40,5,NA
Abdelmajid Taha,EGY,Egypt,Powerlifting,Male,34,Men's -54 kg,4,NA
Abdelshafi Malak,EGY,Egypt,Swimming,Female,18,Women's 100m Breaststroke - SB4,8,NA
Abdelshafi Malak,EGY,Egypt,Swimming,Female,18,Mixed 4x50m Freestyle Relay - 20 Points,NA,NA
Abdi Hassan,IRI,Islamic Republic of Iran,Wheelchair Basketball,Male,35,Men,9,NA
Abdulkhabibov Azizbek,UZB,Uzbekistan,Canoe Sprint,Male,27,Men's Kayak Single 200m - KL2,8,NA
Abdullakhanli Kanan,AZE,Azerbaijan,Judo,Male,34,Men -100 kg,9,NA
Abdulraheem Kovan,IRQ,Iraq,Athletics,Male,33,Men's Javelin Throw - F41,6,NA
Abdykhalykova Gulbanu,KAZ,Kazakhstan,Powerlifting,Female,48,Women's -50 kg,7,NA
Abe Chisato,JPN,Japan,Wheelchair Fencing,Female,42,Women's Foil Individual - Category B,14,NA
Abe Chisato,JPN,Japan,Wheelchair Fencing,Female,42,Women's Sabre Individual - Category B,10,NA
Abe Chisato,JPN,Japan,Wheelchair Fencing,Female,42,Women's Épée Team,NA,NA
Abidar Mohamed,LBA,Libya,Taekwondo,Male,31,Men K44 +75kg,7,NA
Abidogun Ola,GBR,Great Britain,Athletics,Male,28,Men's 100m - T47,NA,NA
Abilkhassymkyzy Saltanat,KAZ,Kazakhstan,Athletics,Female,21,Women's 100m - T35,NA,NA
Abilkhassymkyzy Saltanat,KAZ,Kazakhstan,Athletics,Female,21,Women's 200m - T35,9,NA
Ablinger Walter,AUT,Austria,Cycling Road,Male,52,Men's H3 Road Race,3,Bronze
Ablinger Walter,AUT,Austria,Cycling Road,Male,52,Men's H3 Time Trial,1,Gold
Ablinger Walter,AUT,Austria,Cycling Road,Male,52,Mixed H1-5 Team Relay,NA,NA
Abohegazy Salma,EGY,Egypt,Taekwondo,Female,18,Women K44 -58kg,7,NA
Abouelkhir Metawa,EGY,Egypt,Sitting Volleyball,Male,44,Men,5,NA
Abraham De Deus Michel Gustavo,BRA,Brazil,Athletics,Male,23,Men's Long Jump - T47,9,NA
Abraham Gebru Daniel,NED,Netherlands,Cycling Road,Male,36,Men's C4-5 Road Race,3,Bronze
Abraham Gebru Daniel,NED,Netherlands,Cycling Road,Male,36,Men's C5 Time Trial,1,Gold
Abraham Gebru Daniel,NED,Netherlands,Cycling Track,Male,36,Men's C5 4000m Individual Pursuit,5,NA
Abrahams David Henry,USA,United States of America,Swimming,Male,20,Men's 100m Breaststroke - SB13,2,Silver
Abrahams David Henry,USA,United States of America,Swimming,Male,20,Men's 100m Butterfly - S13,NA,NA
Abrahams David Henry,USA,United States of America,Swimming,Male,20,Men's 200m Individual Medley - SM13,4,NA
Abshir Omar Mahdi,SOM,Somalia,Athletics,Male,32,Men's Shot Put - F57,15,NA
Abu Awad Khetam,JOR,Jordan,Table Tennis,Female,46,Women's Team - Classes 4-5,5,NA
Abu Awad Khetam,JOR,Jordan,Table Tennis,Female,46,Women's Singles - Class 5,3,Bronze
Abud Coronado Jose Manuel,DOM,Dominican Republic,Powerlifting,Male,46,Men's -65 kg,7,NA
Abuzarli Abulfaz,AZE,Azerbaijan,Taekwondo,Male,30,Men K44 -75kg,7,NA
Acar Deniz,TUR,Turkey,Wheelchair Basketball,Male,45,Men,6,NA
Accardi Federico,ARG,Argentina,Football 5-a-side,Male,32,Men,2,Silver
Aceituno Herbert,ESA,El Salvador,Powerlifting,Male,35,Men's -59 kg,3,Bronze
Aceves Perez Haidee Viviana,MEX,Mexico,Swimming,Female,28,Women's 100m Freestyle - S3,8,NA
Aceves Perez Haidee Viviana,MEX,Mexico,Swimming,Female,28,Women's 50m Backstroke - S3,7,NA
Achenza Giovanni,ITA,Italy,Triathlon,Male,50,Men's PTWC,3,Bronze
Acosta Manjarres Yamil David,COL,Colombia,Athletics,Male,23,Men's 100m - T12,NA,NA
Acosta Manjarres Yamil David,COL,Colombia,Athletics,Male,23,Men's 400m - T12,NA,NA
Acosta Rodriguez Adolfo,ESP,Spain,Football 5-a-side,Male,40,Men,6,NA
Acosta Soto Omar Jose,COL,Colombia,Athletics,Male,21,Men's Long Jump - T36,6,NA
Adalsteinsdottir Bergrun Osk,ISL,Iceland,Athletics,Female,20,Women's Long Jump - T37,8,NA
Adalsteinsdottir Bergrun Osk,ISL,Iceland,Athletics,Female,20,Women's Shot Put - F37,7,NA
Adami Zsanett,HUN,Hungary,Swimming,Female,26,Women's 50m Backstroke - S2,7,NA
Adami Zsanett,HUN,Hungary,Swimming,Female,26,Women's 100m Backstroke - S2,7,NA
Adams Lisa,NZL,New Zealand,Athletics,Female,30,Women's Shot Put - F37,1,Gold
Adams Lisa,NZL,New Zealand,Athletics,Female,30,Women's Discus Throw - F38,7,NA
Addesi Pierpaolo,ITA,Italy,Cycling Road,Male,45,Men's C4-5 Road Race,9,NA
Addesi Pierpaolo,ITA,Italy,Cycling Road,Male,45,Men's C5 Time Trial,9,NA
Addison Tamsin,IRL,Ireland,Equestrian,Female,48,Team Test to Music,12,NA
Addison Tamsin,IRL,Ireland,Equestrian,Female,48,Individual Test - Grade V,12,NA
